uid,pagerank,deg_cent,close_cent,bet_cent,load_cent,avg_neigh_deg
49,0.0011093299704305008,0.07547169811320756,0.5026343519494204,5.70330329776729e-06,6.285538261579319e-06,220.25
59,0.008991914000107347,0.6373165618448637,0.726027397260274,0.038082526110452236,0.038054571937789376,112.52302631578948
293,0.006944125665733901,0.5471698113207547,0.6814285714285714,0.0175317255608891,0.01752206366102445,124.39463601532567
363,0.0037843440371517784,0.33333333333333337,0.5925465838509317,0.0012813257468863976,0.0012799470954005274,163.57232704402514
561,0.004427476626707438,0.3857442348008386,0.6091954022988506,0.0025897493660081657,0.0025923117121878776,144.32065217391303
655,0.005892382076186879,0.4255765199161426,0.6301188903566711,0.02089775214379033,0.020654640884779998,134.32512315270935
62,0.0044452586270952955,0.39832285115303984,0.6170763260025873,0.001706322778984666,0.0017031420607257473,152.7578947368421
73,0.0003817087537352629,0.006289308176100629,0.43245693563009974,0.0,0.0,265.6666666666667
213,0.002955703552702281,0.2536687631027254,0.5638297872340425,0.0004883195176106583,0.0004893118026342734,175.28925619834712
325,0.0014869259713245952,0.11320754716981132,0.5090715048025614,3.166747601510628e-05,3.349787138003838e-05,199.44444444444446
401,0.0011891115516850007,0.08385744234800839,0.5047619047619047,1.8065106651692258e-06,1.794803092242752e-06,221.95
425,0.001808227105773236,0.14465408805031446,0.5270718232044199,4.777729948970369e-05,4.866595108620078e-05,198.85507246376812
456,0.003198440284831955,0.2746331236897275,0.5705741626794258,0.0008605021845504553,0.0008619480471666691,169.0229007633588
796,0.0034842723986590555,0.30817610062893086,0.5845588235294118,0.0007318153689331597,0.0007261996460926145,168.34013605442178
322,0.00040523424781775284,0.008385744234800839,0.44003690036900367,0.0,0.0,256.5
460,0.0007252480041347137,0.0020964360587002098,0.27943760984182775,0.0,0.0,2.0
733,0.0009673618069872167,0.0041928721174004195,0.3874898456539399,0.0041928721174004195,0.004192872117400419,102.0
13,0.009059695991968628,0.6436058700209644,0.7349768875192604,0.03887701950542506,0.0388701392761427,112.99674267100977
145,0.003687996331175789,0.3060796645702306,0.5852760736196319,0.002284967869862162,0.002285034716049151,157.85616438356163
174,0.0013023626946913787,0.09224318658280922,0.5074468085106383,4.639009584166397e-05,4.9035081681485645e-05,197.3181818181818
177,0.001520857416441498,0.11111111111111112,0.5123523093447906,0.0002170727831757897,0.00023099492579582002,199.67924528301887
181,0.0026666269609355838,0.07756813417190776,0.4937888198757764,0.014619719659355476,0.015008706486686625,141.3783783783784
234,0.006157909464561018,0.5073375262054508,0.6625,0.011414050531281555,0.011424395239974586,128.30578512396696
254,0.0021824967435516785,0.18238993710691825,0.5389830508474577,0.00010558365525120327,0.00010612630905788796,191.8735632183908
262,0.0019517300151804988,0.15932914046121593,0.5341545352743561,3.666208710324958e-05,3.676675601774296e-05,206.67105263157896
268,0.005802405180026516,0.48427672955974843,0.6516393442622951,0.009161376737460732,0.009154516780103547,136.32034632034632
271,0.005969149987683905,0.5136268343815514,0.6643454038997214,0.007217321621989338,0.007193676571092989,131.56326530612245
279,0.004136391198554612,0.36268343815513626,0.6045627376425855,0.001926103175132812,0.0019257860623798826,155.4277456647399
297,0.0044169427288156295,0.389937106918239,0.6138996138996139,0.0022428825575434423,0.002235061472990383,152.8494623655914
